highway,addr:city,addr:housenumber,addr:postcode,addr:street,bench,bus,covered,departures_board,description,gtfs_id,name,network,network:wikidata,network:wikipedia,operator,public_transport,route_ref,shelter,wheelchair,natural,crossing,crossing:markings,maxspeed,lanes,lit,postal_code,surface,bicycle,foot,oneway,handrail,incline,ramp,alt_name,maxspeed:type,amenity,brand,brand:wikidata,brand:wikipedia,building,roof:material,lanes:backward,lanes:forward,source,horse,height,shop,contact:phone,area,footway,barrier,type,area_m2,length_m
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,6.285,,,,,,,43.040405448702344,29.06424575288843
,São Paulo,1543,02072-002,Avenida Conceição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,8,,,,,,,258.9423953213803,85.75148558846377
residential,,,,,,,,,,,Praça Alegria Nova,,,,,,,,,,,,20,,yes,,asphalt,,yes,,,,,,,,,,,,,,,,,,,,,,,,0.0,79.64635451568347
secondary,,,,,,,,,,,Avenida Conceição,,,,,,,,,,,,40,2,yes,02072-001,asphalt,,,yes,,,,,,,,,,,,1,1,,no,,,,,,,,0.0,94.6325696128558
services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,956.1331150684047,124.06867696437789
residential,,,,,,,,,,,Rua Gabriel Orefice,,,,,,,,,,,,20,2,yes,02084-090,paved,,,yes,,,,,sign,,,,,,,1,1,Bing,,,,,,,,,0.0,21.944910111094423
residential,,,,,,,,,,,Rua Gabriel Orefice,,,,,,,,,,,,20,,yes,02084-090,asphalt,,,,,,,,sign,,,,,,,1,1,Bing,,,,,,,,,0.0,74.16526730409024
secondary,,,,,,,,,,,Avenida Conceição,,,,,,,,,,,,30,2,yes,02072-001,asphalt,,,,,,,,,,,,,,,1,1,,no,,,,,,,,0.0,25.145572782056828
secondary,,,,,,,,,,,Avenida Conceição,,,,,,,,,,,,40,2,yes,02072-001,asphalt,,,,,,,,,,,,,,,1,1,,no,,,,,,,,0.0,8.302843530424365
secondary,,,,,,,,,,,Avenida Conceição,,,,,,,,,,,,40,2,yes,02072-001,asphalt,,,yes,,,,,,,,,,,,1,1,,no,,,,,,,,0.0,101.43319474117877
footway,,,,,,,,,,,,,,,,,,,,,uncontrolled,zebra,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,crossing,,,0.0,10.744596439528404
footway,,,,,,,,,,,,,,,,,,,,,uncontrolled,zebra,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,crossing,,,0.0,13.085758278423967
footway,,,,,,,,,,,,,,,,,,,,,uncontrolled,zebra,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,crossing,,,0.0,13.140857188994502
footway,,,,,,,,,,,,,,,,,,,,,uncontrolled,zebra,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,crossing,,,0.0,9.701647444697496
footway,,,,,,,,,,,,,,,,,,,,,uncontrolled,zebra,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,crossing,,,0.0,13.03115309449522
footway,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,,,,,,,,"0,15",,,,sidewalk,kerb,,0.0,55.79510316820614
footway,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,,,,,,,,"0,15",,,,sidewalk,kerb,,0.0,24.745382886462455
footway,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,,,,,,,,"0,15",,,,sidewalk,kerb,,0.0,45.973593103145916
footway,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,,,,,,,,"0,15",,,,sidewalk,kerb,,0.0,42.863587429094586
