highway,addr:city,addr:housenumber,addr:postcode,addr:street,bench,bus,covered,departures_board,description,gtfs_id,name,network,network:wikidata,network:wikipedia,operator,public_transport,route_ref,shelter,wheelchair,natural,crossing,crossing:markings,maxspeed,lanes,lit,postal_code,surface,bicycle,foot,oneway,handrail,incline,ramp,alt_name,maxspeed:type,amenity,brand,brand:wikidata,brand:wikipedia,building,roof:material,lanes:backward,lanes:forward,source,horse,height,shop,contact:phone,area,footway,barrier,type,area_m2,length_m
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.201,,,,,,,169.34705127667826,72.99549215546637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.771,,,,,,,94.31177059996055,42.11507981236548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.491,,,,,,,114.76970824351135,43.960881613773104
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,7.137,,,,,,,82.53698222551328,48.096365572345256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.897,,,,,,,11.426525308223134,13.755017861977478
,São Paulo,1299,02072-002,Avenida Conceição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.004,newsagent,,,,,,32.24854613701785,25.204797375072317
,São Paulo,1449,02072-001,Avenida Conceição,,,,,,,GP Carangas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,5.403,car,+55 11 94738-5652,,,,,112.06567074205346,42.57736880227024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.094,,,,,,,88.32172479670267,38.90703508245747
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.676,,,,,,,175.63039326857353,67.1658430507904
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,,,,,,,,249.32986643571437,70.04807411856223
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.331,,,,,,,236.19497375367962,75.08306372776848
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.558,,,,,,,136.27198650325477,59.19770613650842
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,,,,,,,,76.20755396000024,35.33229181310868
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,,,,,,,,84.82584598583998,39.421490291656994
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,7.16,,,,,,,104.89173835694434,42.533229196460255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,4.817,,,,,,,61.412120640976894,32.607302009256124
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,2.992,,,,,,,8.15002062672875,12.059052531625914
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,3.881,,,,,,,49.4932339403413,30.66872715925627
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pmsp,,4.601,,,,,,,126.40615906394773,52.900400354744484
