highway,traffic_signals,crossing,amenity,operator,payment:telephone_cards,crossing:markings,crossing_ref,addr:city,addr:housenumber,addr:postcode,addr:street,brand,brand:wikidata,brand:wikipedia,healthcare,name,bicycle,natural,date,display,faces,support,visibility,addr:country,addr:suburb,architect,building,building:architecture,building:levels,denomination,diocese,historic,is_in:city,is_in:country,name:de,name:en,name:es,name:fr,name:id,name:it,name:pt,name:zh,nohousenumber,opening_hours,phone,religion,roof:colour,roof:shape,start_date,tourism,website,wikidata,wikimedia_commons,wikipedia,wikipedia:en,cycleway:right,lit,maxspeed,min_height,oneway,oneway:bicycle,surface,width,alt_name,sidewalk,lanes,leisure,name:ja,name:tr,bicycle:conditional,busway:left,busway:right,lanes:bus,lanes:bus:conditional,maxspeed:conditional,postal_code,trolley_wire,turn:lanes,bus,cycleway:est_width,cycleway:left,bridge,layer,source,foot,segregated,height,access,bicycle_parking,capacity,covered,description,fee,opening_hours:covid19,operator:type,supervised,footway,type,landuse,area_m2,length_m
traffic_signals,signal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,telephone,Telefonica,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,telephone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
crossing,,marked,,,,yes,zebra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,pharmacy,,,,,São Paulo,152,01001-001,Praça da Sé,Droga Raia,Q10357101,pt:RaiaDrogasil,pharmacy,Droga Raia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
traffic_signals,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,fast_food,,,,,São Paulo,29,01016-010,Rua Irmã Simpliciana,,,,,Central da Copa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,,,,,,,,,,,,,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,clock,,,,,,,,,,,,,Relógio,,,no,analog,4,pole,street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
,,,pharmacy,,,,,São Paulo,100,01001-001,Praça da Sé,,,,pharmacy,Onofre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
crossing,,uncontrolled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
living_street,,,,,,,,,,,,,,,,Rua Onze de Agosto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,cobblestone,,Rua 11 de Agosto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.927584168633528
residential,,,,,,,,,,,,,,,,Rua Irmã Simpliciana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,paved,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,67.09568694393793
living_street,,,,,,,,,,,,,,,,Praça Clóvis Beviláqua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,20,,,,cobblestone,10,Rua Filipe de Oliveira,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,105.86511855571348
,,,,,,,,,,,,,,,,Praça da Sé,,,,,,,,,,,,,,,,,,,,Sé Square,,,,Piazza Sè,Praça da Sé,,,,,,,,,attraction,,Q2880208,Category:Praça da Sé (São Paulo),pt:Praça da Sé (São Paulo),,,,,,,,,,,,,park,セー 広場,Sé Meydanı,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34585.77896714705,899.4047365027171
primary,,,,,,,,,,,,,,,,Rua Anita Garibaldi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pt:Anita Garibaldi,,,yes,50,,yes,,asphalt,,,both,4,,,,yes @ (Su 07:00-16:00),lane,lane,2,yes @ (Mo-Fr 06:00-22:00; Sa 06:00-14:00),40 @ (Su 07:00-16:00),01018-020,yes,left|left|through|through,,,,,,,,,,,,,,,,,,,,,,0.0,217.67446502168013
pedestrian,,,,,,,,,,,,,,,,Praça da Sé,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,53.911310236825436
primary,,,,,,,,,,,,,,,,Praça da Sé,designated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,40,,yes,no,asphalt,,,both,3,,,,,,,,,,,yes,,yes,3,lane,,,,,,,,,,,,,,,,,,,0.0,34.24821749078806
footway,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,paved,,,,,,,,,,,,,,,,,,,,yes,1,Bing,,,,,,,,,,,,,,,,0.0,10.965033956249746
footway,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,paved,,,,,,,,,,,,,,,,,,,,yes,1,,,,,,,,,,,,,,,,,0.0,32.63886624726349
footway,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,paved,,,,,,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,0.0,168.42000306286374
footway,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,paved,,,,,,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,0.0,41.921498426533724
footway,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,paved,,,,,,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,0.0,54.698362605065014
footway,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,paved,,,,,,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,0.0,25.629907147359567
footway,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,110.33842767487567
cycleway,,,,,,,,,,,,,,,,,designated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,no,,paved,,,,,,,,,,,,,,,,,,,,,,,designated,no,,,,,,,,,,,,,,0.0,80.36721310980698
footway,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,paved,,,,,,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,0.0,62.71900088500769
footway,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,paved,,,,,,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,0.0,177.5316575926471
footway,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,62.738740029623564
footway,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,27.956599876116087
footway,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,paved,,,,,,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,0.0,48.2430887175413
footway,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19.471223845844012
footway,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,paved,,,,,,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,0.0,19.463484374169727
footway,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,11.889107845646793
,,,,,,,,,,,,,,,,Edifício Augusto Gazeau,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,,,,,,,,,,,,,121.93162704534511,43.04861217809184
,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.69,,,,,,,,,,,,,458.66059643653284,121.61841632112325
,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.21,,,,,,,,,,,,,381.521027967653,116.87800451666683
,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,448.56715710812637,107.62821520081236
,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.65,,,,,,,,,,,,,442.89970591660256,123.63854766154942
,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.33,,,,,,,,,,,,,63.31380078105192,31.896648348855337
,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.23,,,,,,,,,,,,,321.95104490522624,70.5430399663891
