highway,lanes,name,oneway,surface,alt_name,maxspeed,source,IBGE:CD_ADMINIS,ref,addr:city,addr:housenumber,addr:postcode,addr:street,addr:suburb,building,shop,bicycle,lit,service,covered,layer,landuse,amenity,brand,brand:wikidata,brand:wikipedia,religion,area_m2,length_m
tertiary,1,Rua Salinas Ponta Costa,yes,paved,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.116096054146977
residential,,Rua Los Angeles,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,800.2916356759346
secondary,2,Avenida Joaquim Nogueira,yes,paved,,,,,,,,,,,,,,,,,,,,,,,,0.0,1531.1786838987389
residential,,Avenida Lecy Gomes da Costa,yes,paved,,,,,,,,,,,,,,,,,,,,,,,,0.0,579.0186157713171
secondary,1,Avenida Lecy Gomes da Costa,yes,paved,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.544492323464365
secondary_link,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,12.065740400786549
footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1414.9931701050934
residential,,Rua Vinte e Cinco,,asphalt,Rua 25,20,,,,,,,,,,,,,,,,,,,,,,0.0,196.76166067616896
residential,,Avenida Luis Lindenberg,yes,,,,,,,,,,,,,,,,,,,,,,,,,0.0,27.330386707303273
residential,,Avenida Luis Lindenberg,,paved,,,,,,,,,,,,,,,,,,,,,,,,0.0,1282.4048782820564
residential,,Rua Expedicionário da Pátria,,paved,,,,,,,,,,,,,,,,,,,,,,,,0.0,654.8694627937523
residential,,Rua Expedicionário da Pátria,yes,paved,,,,,,,,,,,,,,,,,,,,,,,,0.0,25.217247862784028
residential,,Rua da Independencia,,paved,,,Bing;GPS;survey,,,,,,,,,,,,,,,,,,,,,0.0,18.697073746879152
trunk,2,Avenida América Central,yes,paved,,80,IBGE;GPS,estadual,RJ-140,,,,,,,,,,,,,,,,,,,0.0,528.1191329304565
trunk,2,Avenida América Central,yes,paved,,80,,,RJ-140,,,,,,,,,,,,,,,,,,,0.0,72.77425572622305
trunk_link,1,,yes,,,,,,,,,,,,,,,,,,,,,,,,,0.0,41.43426276245389
