crossing,highway,power,addr:city,addr:postcode,addr:street,addr:suburb,amenity,name,religion,natural,junction,lanes,surface,maxspeed,oneway,source,alt_name,bridge,layer,service,building:levels,building,landuse,cables,circuits,description,frequency,old_operator,operator,voltage,wires,location,substation,brand,fuel:GNV,fuel:diesel,fuel:diesel_S10,fuel:etanol_comum,fuel:gasolina_aditivada,fuel:gasolina_comum,access,footway,shop,area_m2,length_m
,residential,,,,,,,Rua C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,208.91058693401754
,residential,,,,,,,Rua B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,140.4682362601245
,residential,,,,,,,Rua Irani Mendes Neto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,240.36374177258773
,residential,,,,,,,Rua 3,,,,,,,,,Rua Três,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,91.68748635789315
,residential,,,,,,,Rua 3,,,,,,,,,Rua Três,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,183.86254767626227
,residential,,,,,,,Travessa 2,,,,,,,,,Travessa Dois,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,99.53088329289417
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,280.0196402871519
,residential,,,,,,,Travessa 1,,,,,,,,,Travessa Um,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,88.25005641488876
,residential,,,,,,,Travessa 2,,,,,,,,,Travessa Dois,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,55.049872640972374
,residential,,,,,,,Rua 8,,,,,,,,,Rua Oito,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,186.95344311274363
,residential,,,,,,,Avenida José Alvares de Azevedo,,,,,paved,,,IBGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,639.9454707262737
,residential,,,,,,,Rua 1,,,,,,,,,Rua Um,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,199.76596953345788
,residential,,,,,,,Rua 11,,,,,,,,,Rua Onze,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,215.53982016368772
,residential,,,,,,,Rua 10,,,,,,,,,Rua Dez,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,251.58081732589358
,residential,,,,,,,Rua 9,,,,,,,,,Rua Nove,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,234.53100549724763
,residential,,,,,,,Rua 1,,,,,,,,,Rua Um,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,36.35593333318714
,residential,,,,,,,Rua 5,,,,,,,,,Rua Cinco,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,101.27641171024354
,residential,,,,,,,Rua 4,,,,,,,,,Rua Quatro,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,124.91694033512837
,residential,,,,,,,Rua 3,,,,,,,,,Rua Três,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,144.48977111413777
,residential,,,,,,,Rua 2,,,,,,,,,Rua Dois,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,147.75898539704207
,residential,,,,,,,Rua 6,,,,,,,,,Rua Seis,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,71.45847539605465
,residential,,,,,,,Rua 9,,,,,,,,,Rua Nove,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,131.1629994054426
,residential,,,,,,,Rua do Incra,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,531.4650860017691
,residential,,,,,,,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,32.94435047717504
,residential,,,,,,,Avenida 2,,,,,,,,,Avenida Dois,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,236.1278218137727
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,112.14964479745805
,residential,,,,,,,Rua São José Barreto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,429.2379650924747
,residential,,,,,,,Rua Antônio Curvelo Benjamin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,249.40843654624595
,residential,,,,,,,Rua Elias Agostinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,144.310223086174
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,123.54854533822817
,residential,,,,,,,Rua Guiomar Schueller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,89.16889507173552
,service,,,,,,,,,,,,,,,,,,,alley,,,,,,,,,,,,,,,,,,,,,,,,0.0,163.65314225813023
,,,,,Estrada Municipal do Incra,,university,UFRJ,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,1630.509300592952,165.591862925083
,,,,,,,,,,,,,,,,,,,,,4,yes,industrial,,,,,,,,,,,,,,,,,,,,,1630.496671406649,165.59117300017977
,,,,,,,,,,,,,,,,,,,,,4,yes,,,,,,,,,,,,,,,,,,,,,,750.6910495284195,112.16525323479715
,,,,,,,school,Escola Municipal Elza Ibrahim,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,2699.350176922753,220.78385599509645
,,,,,,,,,,,,,,,,,,,,,4,yes,,,,,,,,,,,,,,,,,,,,,,1630.9329782875138,165.5353443040972
,residential,,,,,,,Rua 5,,,,,,,,,Rua Cinco,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,225.52056339766307
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,782.8831560686481
,residential,,,,,,,Avenida 3,,,,,paved,,,IBGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1045.5535729672956
,tertiary,,,,,,,Estrada Municipal do Incra,,,,2,paved,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,283.9194915692749
,residential,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,556.5646871162371
,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,62.7233806419996
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,94.51802922669677
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,163.93758058117032
,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,39.7235871415033
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,83.8783229004263
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,96.57756040313227
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,115.71047615638017
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,243.7326854148372
,residential,,,,,,,Rua A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,165.45996612664953
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,236.3157758236288
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,184.20203954803696
,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,159.4530609615592
,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,73.41625990635904
,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,71.69493341119872
,service,,,,,,,,,,,,,,,,,,,alley,,,,,,,,,,,,,,,,,,,,,,,,0.0,30.939216554068175
,service,,,,,,,,,,,,,,,,,,,alley,,,,,,,,,,,,,,,,,,,,,,,,0.0,120.95727184050486
,service,,,,,,,,,,,,,,,,,,,alley,,,,,,,,,,,,,,,,,,,,,,,,0.0,49.97966200057431
,,line,,,,,,,,,,,,,,,,,,,,,,6,2,LT Macaé/Cabiúnas,60,Ampla,Enel Distribuição Rio,69000,single,,,,,,,,,,,,,0.0,10640.752100823616
,,line,,,,,,,,,,,,,,,,,,,,,,3,1,,60,Ampla,Enel Distribuição Rio,69000,single,,,,,,,,,,,,,0.0,60.889061195917165
,,substation,,,,,,Subestação Luiz Ajuda,,,,,,,,,,,,,,,,,,,,Ampla,Enel Distribuição Rio,,,outdoor,distribution,,,,,,,,,,,1693.873561422297,187.84008788008805
,,line,,,,,,,,,,,,,,,,,,,,,,6,2,LT Macaé/Cabiúnas,60,Ampla,Enel Distribuição Rio,69000,single,,,,,,,,,,,,,0.0,5117.356854972808
,cycleway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,181.9738924476083
,cycleway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,47.69400888513588
,primary,,,,,,,Rua Hildebrando Alves Barbosa,,,,2,asphalt,60,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,824.6611960951693
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,52.27758812836318
,residential,,,,,,,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,32.560861173392574
