power,access,fishing,leisure,name,crossing,highway,IBGE:CD_ADMINIS,bridge,lanes,layer,maxspeed,oneway,ref,source,destination:ref,alt_name,surface,loc_name,sport,amenity,brand,brand:wikidata,brand:wikipedia,operator,landuse,cables,circuits,description,frequency,old_operator,voltage,wires,park,building,residential,leaf_cycle,leaf_type,natural,bicycle,dog,foot,horse,incline,lit,stroller,wheelchair,motor_vehicle,width,hoops,addr:street,addr:city,addr:housenumber,seamark:harbour:category,seamark:type,shop,community_centre,area_m2,length_m
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,408.19530303927974,83.38280833847918
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mixed,mixed,wood,,,,,,,,,,,,,,,,,,,220.4884502237726,72.92264327262001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,354.3209402527384,77.39314590829963
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,397.0216849234818,81.04901488759663
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,426.32798062457744,83.61987917106842
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,308.09404762210204,74.06621675038649
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,233.53806764104763,66.96919346009727
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,687.0803673349983,106.50192113993748
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,550.2120419490623,95.03994832600101
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,505.17347500955293,90.71917954200104
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,154.90260600851312,60.76982986412665
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,302.8866966965826,72.61468254184501
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,269.3880990056033,69.23813068010864
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,357.6930711305906,77.0870688151387
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,165.38823758639947,51.46336589758889
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,334.1934018867771,74.30121319728248
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,378.79971803481624,78.44153643990987
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,509.7884858894025,90.70670941437697
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,703.275862966088,107.2225543346307
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mixed,mixed,wood,,,,,,,,,,,,,,,,,,,914.9635016311667,245.36973710558033
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boathouse,,,,,,,,,,,,,,,,,,,,,,,1148.5701594231093,177.4174796297113
,,,,Pista de Corrida Palmer,,footway,,,,,,,,,,,concrete,,,,,,,,,,,,,,,,,,,,,,yes,leashed,yes,no,0%,yes,yes,yes,,,,,,,,,,,0.0,74.19672925145245
,,,,Oista de Corrida Palmer,,footway,,,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,,,,yes,,yes,,,,,,no,1,,,,,,,,,0.0,48.18746223862716
,,,,Deck de Passeio Marina Palmer,,footway,,,,,,,,,,,wood,,,,,,,,,,,,,,,,,,,,,,yes,,yes,,0%,,,,,2,,,,,,,,,0.0,295.7078929930187
,,,bandstand,Coreto Palmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,14.440632710886806,15.390660555429832
,yes,,pitch,,,,,,,,,,,,,,concrete,,basketball,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,2,,,,,,,,194.87942645395952,58.68663920781245
,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9.404851831489776
,,,,Rua Marina do Canal Palmer,,residential,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,28.38200759123529
,,,,Rua Ilha da Conceição,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,17.341515333265257
,,,,Rua Ilha da Conceição,,residential,,,,,,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,356.6412878910673
,,,,,,trunk_link,,,2,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,345.3882333415147
,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19.325535353685837
,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,32.00664733578987
,,,,,,tertiary_link,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.375048782474776
,,,,,,tertiary_link,,,2,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.866769344910978
,,,,Rua Henrique Terra,,tertiary,,,2,,40,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.826639657999344
,,,,Rua Henrique Terra,,tertiary,,,2,,40,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.529704764177193
,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.652611808360051
,private,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,79.73775246955185
,,,park,Pracinha do Fonseca,,,,,,,,,,,,,wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.85263098919796,56.78444858136175
,,,,Colégio Estadual Praia do Siqueira,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rua Antônio Feliciano Cardozo,,,,,,,3373.816760083947,239.1340913788152
,,,pitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.24431305874498,62.94371358386462
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roof,,,,,,,,,,,,,,,,,,,,,,,811.1224050133872,139.08203132633685
,,,,,,,,,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,682.8934050311734,135.07221927721906
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,231.65913847611796,66.90100610326039
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,268.13242219740494,80.76061548655107
,,,pitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.40542931088,98.58491423295595
,,,marina,Marina Marlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rua Ilha da Conceição,Cabo Frio,21,marina,harbour,,,6224.013628926146,331.9242650389323
,,,,Cantinho do Canal,,,,,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,Rua Antônio Feliciano Cardozo,Cabo Frio,1,,,,,381.15548128464485,87.52695606366035
,,,pitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518.8212387318023,93.66680432617726
,,,outdoor_seating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.8652497405512,69.03553567195434
,,,pitch,,,,,,,,,,,,,,sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.2571533163574,67.81879258879789
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wood,,,,,,,,,,,,,,,,,,,7778.452356147551,347.93104677277444
,,,,,,living_street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,34.851973210499104
,,,,,,living_street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,35.456031374464494
,,,,Princesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,Rua Irmã Josefina da Veiga,Cabo Frio,,,,supermarket,,1163.3481606207893,164.94531096333563
,,,pitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.50285516402668,39.3221714505906
,,,pitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.0686914420563,91.68713967093424
,,,playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.38466156537,59.740143977183585
,,,,Vestcasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,Rua Alziro Ramalho,Cabo Frio,31,,,household_linen,,734.0250301678063,108.84421505050277
,,,,Somotor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,Avenida América Central,Cabo Frio,1400,,,car_parts,,861.7217351617331,134.72155951004243
,,,,,,footway,,yes,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,26.550139864799004
,,,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,44.87800774892875
,,,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,43.78418165091364
,,,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.827034374091872
,,,,Avenida América Central,,trunk,,,3,,80,yes,RJ-140,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,49.76040872044183
,,,,Avenida América Central,,trunk,,,2,,80,yes,RJ-140,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,236.90515629102123
,,,,Rua Dinis,,residential,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,237.78830712475192
,,,,Rua Paulo Burle,,residential,,,2,,40,no,,,,,paving_stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,394.65649533752924
,,,,Rua Roberto Silveira,,residential,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,157.4638277496576
,,,,,,living_street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.750452961626548
,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.554837304662504
,,,,,,path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,40.69680297555404
,,,,Avenida América Central,,trunk,estadual,yes,2,1,80,yes,RJ-140,IBGE;GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,67.62450282546774
,,,,Avenida América Central,,trunk,,yes,2,1,80,yes,RJ-140,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,66.86136786327484
,,,,,,living_street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.369652883143742
,,,,,,,,,,,,,,,,,,,,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2087.809738123816,202.49210327761216
,,,,,,,,,,,,,,,,,,,,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483.02243596567826,90.10086296050771
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,213.17390133932847,61.157797413401155
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,51.777047955332385,29.060606089682626
,,,,,,,,,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,164.88019878161234,51.63971965307915
,,,,,,,,,,,,,,,,,,,,community_centre,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,community_hall,1607.3332950912377,159.9298517973255
,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1729.28281999583,175.84011502820698
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,warehouse,,,,,,,,,,,,,,,,,,,,,,,1229.6635348870186,142.4553012037723
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,beauty,,105.30092244601003,41.97436158194865
,,,,,,,,,,,,,,,,,,,,fast_food,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,26.720823564115367,20.797754489171243
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,car_repair,,124.11443621421515,45.59127654421609
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,beauty,,74.06564726991537,34.52813115513056
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,car_repair,,554.7442874022973,95.21626814966662
,,,,,,,,,,,,,,,,,,,,fast_food,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,128.6564464248382,45.893346767361066
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,convenience,,258.4431122549922,64.54446846286028
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,car_repair,,281.1887485051414,72.14749335218062
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,hardware,,1542.3012988698833,161.13951739426378
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,warehouse,,,,,,,,,,,,,,,,,,,,,,,408.63065695425627,81.2203287515101
,,,,,,,,,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,202.73046139602596,59.05953741222425
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ruins,,,,,,,,,,,,,,,,,,,,,,,104.53584380128366,47.86638030777209
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ruins,,,,,,,,,,,,,,,,,,,,,,,170.44690315642086,81.25063101528988
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,car_repair,,409.4813206378699,81.68530430348058
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,warehouse,,,,,,,,,,,,,,,,,,,,,,,184.5401032702089,56.8320194900497
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,129.56487586702457,46.79998294971561
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,car_repair,,132.2115426308523,46.899927117070334
,,,,,,,,,,,,,,,,,,,,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.0097480551667,84.92816012932231
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,147.78823812225534,49.24117923479311
