power,access,fishing,leisure,name,crossing,highway,IBGE:CD_ADMINIS,bridge,lanes,layer,maxspeed,oneway,ref,source,destination:ref,alt_name,surface,loc_name,sport,amenity,brand,brand:wikidata,brand:wikipedia,operator,landuse,cables,circuits,description,frequency,old_operator,voltage,wires,park,building,residential,leaf_cycle,leaf_type,natural,bicycle,dog,foot,horse,incline,lit,stroller,wheelchair,motor_vehicle,width,hoops,addr:street,addr:city,addr:housenumber,seamark:harbour:category,seamark:type,shop,community_centre,area_m2,length_m
,,,,Rua Trindade,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,457.31071770391054
,,,,Rua José do Dome,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,310.32820696206363
,,,,Rua Trindade,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,194.4255247379208
,,,,Rua Lincoln Garcia Guimarães,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,189.3795456010463
,,,,Travessa Olinda,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,331.91923144160984
,,,,Rua Rondônia,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,203.00822371585437
,,,,Rua Alcir Jorge,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,259.7482858929924
,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,33.95479364182423
,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.280889477831353
,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,443.15820058363335
,,,,Travessa Novelino,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,179.79770859001445
,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.4190096733223
,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,130.97040729896
,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,119.62842652493416
,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,91.33371912130384
,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,98.54222391753166
,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,140.4797213012278
