crossing,highway,natural,lanes,maxspeed,name,oneway,ref,surface,junction,bridge,layer,source,alt_name,building,service,intermittent,water,alt_name2,landuse,building:levels,alt_name:en,footway,access,shop,smoothness,width,amenity,healthcare,operator,operator:type,area_m2,length_m
,tertiary,,2,,Avenida do Canal,,MC-03,paved,,,,IBGE,,,,,,,,,,,,,,,,,,,0.0,2723.1057909785495
,residential,,,,Rua São João,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,250.11136221405374
,residential,,,,Rua Joaquim Rosa,yes,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,627.8735384983939
,tertiary,,2,,Estrada Municipal do Incra,no,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,473.1994438948353
,primary_link,,1,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,0.0,33.285572167332944
,tertiary,,2,,Rua São José,yes,MC-03,paved,,,,IBGE,,,,,,,,,,,,,,,,,,,0.0,162.29185945355584
,primary_link,,1,,Rua Hildebrando Alves Barbosa,yes,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,33.980135743693666
,residential,,,,Rua Joaquim Rosa,yes,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,643.4783655620726
,residential,,,,Rua Irmã Angela Puerari,yes,,,,,,,,,,,,,,,,,,,,,,,,,0.0,514.5992438094852
,tertiary_link,,2,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,0.0,29.65069608330358
,primary,,2,60,Avenida Industrial,yes,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,95.58620679908384
,residential,,,,Rua Principal,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1152.8838019411164
,tertiary,,2,,Rua Professor Antônio Avarez Parada,yes,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1325.562478222263
,residential,,,,Avenida Deputado Aristoteles de Miranda Mello,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,630.8515934835165
,residential,,,,Rua 110,,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,122.5399854466298
